	city	website	response_code	sitemap_url	sitemap_exists
154	Ibbenbueren	https://www.Ibbenbueren.de/	200	https://www.Ibbenbueren.de/sitemap.xml	TRUE
155	Gummersbach	https://www.Gummersbach.de/	200	https://www.Gummersbach.de/sitemap.xml	FALSE
156	Ravensburg	https://www.Ravensburg.de/	200	https://www.Ravensburg.de/sitemap.xml	FALSE
157	Boeblingen	https://www.Boeblingen.de/	200	https://www.Boeblingen.de/sitemap.xml	FALSE
158	Peine	https://www.Peine.de/	200	https://www.Peine.de/sitemap.xml	FALSE
159	Speyer	https://www.Speyer.de/	200	https://www.Speyer.de/sitemap.xml	FALSE
160	Rastatt	https://www.Rastatt.de/	200	https://www.Rastatt.de/sitemap.xml	FALSE
161	Elmshorn	https://www.Elmshorn.de/	200	https://www.Elmshorn.de/sitemap.xml	TRUE
162	Emden	https://www.Emden.de/	200	https://www.Emden.de/sitemap.xml	TRUE
163	Goslar	https://www.Goslar.de/	200	https://www.Goslar.de/sitemap.xml	TRUE
164	Willich	https://www.Willich.de/	200	https://www.Willich.de/sitemap.xml	TRUE
165	Erftstadt	https://www.Erftstadt.de/	200	https://www.Erftstadt.de/sitemap.xml	FALSE
166	Loerrach	https://www.Loerrach.de/	200	https://www.Loerrach.de/sitemap.xml	FALSE
167	Leonberg	https://www.Leonberg.de/	200	https://www.Leonberg.de/sitemap.xml	TRUE
168	Freising	https://www.Freising.de/	200	https://www.Freising.de/sitemap.xml	FALSE
169	Bergkamen	https://www.Bergkamen.de/	200	https://www.Bergkamen.de/sitemap.xml	FALSE
170	Straubing	https://www.Straubing.de/	200	https://www.Straubing.de/sitemap.xml	TRUE
171	Bornheim	https://www.Bornheim.de/	200	https://www.Bornheim.de/sitemap.xml	TRUE
172	Soest	https://www.Soest.de/	200	https://www.Soest.de/sitemap.xml	FALSE
173	Cuxhaven	https://www.Cuxhaven.de/	200	https://www.Cuxhaven.de/sitemap.xml	TRUE
175	Alsdorf	https://www.Alsdorf.de/	200	https://www.Alsdorf.de/sitemap.xml	FALSE
176	Dachau	https://www.Dachau.de/	200	https://www.Dachau.de/sitemap.xml	TRUE
177	Oranienburg	https://www.Oranienburg.de/	200	https://www.Oranienburg.de/sitemap.xml	TRUE
178	Duelmen	https://www.Duelmen.de/	200	https://www.Duelmen.de/sitemap.xml	TRUE
180	Herzogenrath	https://www.Herzogenrath.de/	200	https://www.Herzogenrath.de/sitemap.xml	FALSE
181	Neunkirchen	https://www.Neunkirchen.de/	200	https://www.Neunkirchen.de/sitemap.xml	FALSE
182	Schwerte	https://www.Schwerte.de/	200	https://www.Schwerte.de/sitemap.xml	FALSE
183	Hof	https://www.Hof.de/	200	https://www.Hof.de/sitemap.xml	FALSE
184	Bruchsal	https://www.Bruchsal.de/	200	https://www.Bruchsal.de/sitemap.xml	FALSE
185	Rodgau	https://www.Rodgau.de/	200	https://www.Rodgau.de/sitemap.xml	TRUE
186	Albstadt	https://www.Albstadt.de/	200	https://www.Albstadt.de/sitemap.xml	TRUE
187	Filderstadt	https://www.Filderstadt.de/	200	https://www.Filderstadt.de/sitemap.xml	FALSE
188	Buende	https://www.Buende.de/	200	https://www.Buende.de/sitemap.xml	TRUE
189	Gotha	https://www.Gotha.de/	200	https://www.Gotha.de/sitemap.xml	FALSE
190	Fellbach	https://www.Fellbach.de/	200	https://www.Fellbach.de/sitemap.xml	FALSE
191	Memmingen	https://www.Memmingen.de/	200	https://www.Memmingen.de/sitemap.xml	FALSE
192	Kaufbeuren	https://www.Kaufbeuren.de/	200	https://www.Kaufbeuren.de/sitemap.xml	FALSE
194	Weinheim	https://www.Weinheim.de/	200	https://www.Weinheim.de/sitemap.xml	FALSE
195	Lehrte	https://www.Lehrte.de/	200	https://www.Lehrte.de/sitemap.xml	FALSE
196	Falkensee	https://www.Falkensee.de/	200	https://www.Falkensee.de/sitemap.xml	TRUE
197	Bruehl	https://www.Bruehl.de/	200	https://www.Bruehl.de/sitemap.xml	FALSE
198	Pinneberg	https://www.Pinneberg.de/	200	https://www.Pinneberg.de/sitemap.xml	TRUE
199	Kaarst	https://www.Kaarst.de/	200	https://www.Kaarst.de/sitemap.xml	FALSE
200	Erkelenz	https://www.Erkelenz.de/	200	https://www.Erkelenz.de/sitemap.xml	TRUE
201	Wismar	https://www.Wismar.de/	200	https://www.Wismar.de/sitemap.xml	TRUE
202	Erkrath	https://www.Erkrath.de/	200	https://www.Erkrath.de/sitemap.xml	TRUE
203	Gifhorn	https://www.Gifhorn.de/	200	https://www.Gifhorn.de/sitemap.xml	FALSE
204	Borken	https://www.Borken.de/	200	https://www.Borken.de/sitemap.xml	FALSE
205	Heinsberg	https://www.Heinsberg.de/	200	https://www.Heinsberg.de/sitemap.xml	FALSE
206	Nettetal	https://www.Nettetal.de/	200	https://www.Nettetal.de/sitemap.xml	TRUE
208	Aurich	https://www.Aurich.de/	200	https://www.Aurich.de/sitemap.xml	TRUE
209	Laatzen	https://www.Laatzen.de/	200	https://www.Laatzen.de/sitemap.xml	FALSE
210	Amberg	https://www.Amberg.de/	200	https://www.Amberg.de/sitemap.xml	TRUE
211	Eisenach	https://www.Eisenach.de/	200	https://www.Eisenach.de/sitemap.xml	TRUE
212	Homburg	https://www.Homburg.de/	200	https://www.Homburg.de/sitemap.xml	TRUE
213	Dreieich	https://www.Dreieich.de/	200	https://www.Dreieich.de/sitemap.xml	TRUE
214	Ansbach	https://www.Ansbach.de/	200	https://www.Ansbach.de/sitemap.xml	TRUE
215	Bensheim	https://www.Bensheim.de/	200	https://www.Bensheim.de/sitemap.xml	TRUE
216	Siegburg	https://www.Siegburg.de/	200	https://www.Siegburg.de/sitemap.xml	FALSE
217	Coburg	https://www.Coburg.de/	200	https://www.Coburg.de/sitemap.xml	FALSE
219	Koenigswinter	https://www.Koenigswinter.de/	200	https://www.Koenigswinter.de/sitemap.xml	FALSE
220	Eberswalde	https://www.Eberswalde.de/	200	https://www.Eberswalde.de/sitemap.xml	TRUE
221	Nuertingen	https://www.Nuertingen.de/	200	https://www.Nuertingen.de/sitemap.xml	FALSE
222	Germering	https://www.Germering.de/	200	https://www.Germering.de/sitemap.xml	FALSE
223	Nordhausen	https://www.Nordhausen.de/	200	https://www.Nordhausen.de/sitemap.xml	FALSE
224	Hueckelhoven	https://www.Hueckelhoven.de/	200	https://www.Hueckelhoven.de/sitemap.xml	FALSE
225	Schwabach	https://www.Schwabach.de/	200	https://www.Schwabach.de/sitemap.xml	FALSE
227	Pirmasens	https://www.Pirmasens.de/	200	https://www.Pirmasens.de/sitemap.xml	FALSE
228	Lemgo	https://www.Lemgo.de/	200	https://www.Lemgo.de/sitemap.xml	FALSE
229	Freiberg	https://www.Freiberg.de/	200	https://www.Freiberg.de/sitemap.xml	TRUE
231	Loehne	https://www.Loehne.de/	200	https://www.Loehne.de/sitemap.xml	TRUE
232	Ahaus	https://www.Ahaus.de/	200	https://www.Ahaus.de/sitemap.xml	TRUE
233	Schorndorf	https://www.Schorndorf.de/	200	https://www.Schorndorf.de/sitemap.xml	FALSE
234	Voelklingen	https://www.Voelklingen.de/	200	https://www.Voelklingen.de/sitemap.xml	FALSE
235	Maintal	https://www.Maintal.de/	200	https://www.Maintal.de/sitemap.xml	TRUE
236	Ostfildern	https://www.Ostfildern.de/	200	https://www.Ostfildern.de/sitemap.xml	TRUE
237	Ettlingen	https://www.Ettlingen.de/	200	https://www.Ettlingen.de/sitemap.xml	FALSE
238	Freital	https://www.Freital.de/	200	https://www.Freital.de/sitemap.xml	TRUE
240	Mettmann	https://www.Mettmann.de/	200	https://www.Mettmann.de/sitemap.xml	FALSE
241	Ilmenau	https://www.Ilmenau.de/	200	https://www.Ilmenau.de/sitemap.xml	TRUE
242	Stendal	https://www.Stendal.de/	200	https://www.Stendal.de/sitemap.xml	FALSE
243	Pirna	https://www.Pirna.de/	200	https://www.Pirna.de/sitemap.xml	TRUE
244	Weissenfels	https://www.Weissenfels.de/	200	https://www.Weissenfels.de/sitemap.xml	TRUE
245	Wuerselen	https://www.Wuerselen.de/	200	https://www.Wuerselen.de/sitemap.xml	TRUE
247	Greven	https://www.Greven.de/	200	https://www.Greven.de/sitemap.xml	TRUE
248	Wesseling	https://www.Wesseling.de/	200	https://www.Wesseling.de/sitemap.xml	FALSE
249	Kehl	https://www.Kehl.de/	200	https://www.Kehl.de/sitemap.xml	FALSE
250	Backnang	https://www.Backnang.de/	200	https://www.Backnang.de/sitemap.xml	FALSE
251	Fuerstenfeldbruck	https://www.Fuerstenfeldbruck.de/	200	https://www.Fuerstenfeldbruck.de/sitemap.xml	FALSE
252	Warendorf	https://www.Warendorf.de/	200	https://www.Warendorf.de/sitemap.xml	FALSE
253	Tuttlingen	https://www.Tuttlingen.de/	200	https://www.Tuttlingen.de/sitemap.xml	FALSE
254	Beckum	https://www.Beckum.de/	200	https://www.Beckum.de/sitemap.xml	TRUE
256	Coesfeld	https://www.Coesfeld.de/	200	https://www.Coesfeld.de/sitemap.xml	FALSE
257	Suhl	https://www.Suhl.de/	200	https://www.Suhl.de/sitemap.xml	FALSE
258	Erding	https://www.Erding.de/	200	https://www.Erding.de/sitemap.xml	FALSE
259	Sinsheim	https://www.Sinsheim.de/	200	https://www.Sinsheim.de/sitemap.xml	FALSE
260	Emsdetten	https://www.Emsdetten.de/	200	https://www.Emsdetten.de/sitemap.xml	FALSE
262	Crailsheim	https://www.Crailsheim.de/	200	https://www.Crailsheim.de/sitemap.xml	FALSE
263	Lage	https://www.Lage.de/	200	https://www.Lage.de/sitemap.xml	TRUE
264	Goch	https://www.Goch.de/	200	https://www.Goch.de/sitemap.xml	TRUE
265	Datteln	https://www.Datteln.de/	200	https://www.Datteln.de/sitemap.xml	TRUE
266	Deggendorf	https://www.Deggendorf.de/	200	https://www.Deggendorf.de/sitemap.xml	TRUE
268	Steinfurt	https://www.Steinfurt.de/	200	https://www.Steinfurt.de/sitemap.xml	TRUE
269	Balingen	https://www.Balingen.de/	200	https://www.Balingen.de/sitemap.xml	FALSE
270	Dietzenbach	https://www.Dietzenbach.de/	200	https://www.Dietzenbach.de/sitemap.xml	TRUE
271	Kempen	https://www.Kempen.de/	200	https://www.Kempen.de/sitemap.xml	TRUE
273	Wermelskirchen	https://www.Wermelskirchen.de/	200	https://www.Wermelskirchen.de/sitemap.xml	FALSE
274	Saarlouis	https://www.Saarlouis.de/	200	https://www.Saarlouis.de/sitemap.xml	TRUE
275	Wedel	https://www.Wedel.de/	200	https://www.Wedel.de/sitemap.xml	TRUE
